codigo;ex;tipo;descricao;nacionalfederal;importadosfederal;estadual;municipal;vigenciainicio;vigenciafim;chave;versao;fonte
0;;0;PRODUTO NAO ESPECIFICADO NA LISTA DE NCM;13.45;15.45;5.00;0.00;20/04/2025;31/05/2025;8AFAC7;25.1.E;IBPT/empresometro.com.br
1012100;;0;Cavalos reprodutores,de raca pura;13.45;15.45;20.00;0.00;20/04/2025;31/05/2025;8AFAC7;25.1.E;IBPT/empresometro.com.br
1012900;;0;Cavalos vivos,exceto reprodutores de raca pura;13.45;15.45;20.00;0.00;20/04/2025;31/05/2025;8AFAC7;25.1.E;IBPT/empresometro.com.br
1013000;;0;Asininos;13.45;17.73;20.00;0.00;20/04/2025;31/05/2025;8AFAC7;25.1.E;IBPT/empresometro.com.br
1019000;;0;Outros asininos e muares,vivos;13.45;17.73;20.00;0.00;20/04/2025;31/05/2025;8AFAC7;25.1.E;IBPT/empresometro.com.br
1022110;;0;Bovinos reprodutores,de raca pura,prenhe ou com cria ao pe;13.45;15.45;20.00;0.00;20/04/2025;31/05/2025;8AFAC7;25.1.E;IBPT/empresometro.com.br
1022190;;0;Outros bovinos reprodutores,de raca pura;13.45;15.45;20.00;0.00;20/04/2025;31/05/2025;8AFAC7;25.1.E;IBPT/empresometro.com.br
1022911;;0;Outros bovinos para reproducao, prenhe ou com cria ao pe;13.45;15.45;20.00;0.00;20/04/2025;31/05/2025;8AFAC7;25.1.E;IBPT/empresometro.com.br
1022919;;0;Outros bovinos domesticos para reproducao;13.45;15.45;20.00;0.00;20/04/2025;31/05/2025;8AFAC7;25.1.E;IBPT/empresometro.com.br
1022990;;0;Outros bovinos domesticos;13.45;15.45;20.00;0.00;20/04/2025;31/05/2025;8AFAC7;25.1.E;IBPT/empresometro.com.br
